id,node_id,position
5996229,1804571274,4
5996229,1804571275,5
5996229,33640791,6
5996341,1697290122,0
5996341,1236468052,1
5996341,413890170,2
5996341,1342833628,3
5996341,1342833630,4
5996341,1342833631,5
5996341,413890171,6
5996341,413890172,7
5996341,413890173,8
5996341,413890174,9
5996341,413890177,10
5996341,1342833638,11
5996403,33631471,0
5996403,33351198,1
5996403,33351197,2
5996444,33323121,0
5996444,33323234,1
5996444,33323220,2
5996444,33387921,3
5996444,33323369,4
5996444,33323532,5
5996444,33323534,6
5996444,2388096269,7
5996444,33311237,8
5996444,33311234,9
5996444,2388096260,10
5996444,697195465,11
5996444,396128388,12
5996495,33324129,0
5996495,544502864,1
5996495,1398022041,2
5996495,544502869,3
5996495,544502872,4
5996495,33361768,5
5996495,544502876,6
5996495,1398022052,7
5996495,33361764,8
5996495,1398022055,9
5996495,544502890,10
5996495,544502893,11
5996495,544502895,12
5996495,33361772,13
5996495,246664914,14
5996560,34396389,0
5996560,34644769,1
5996627,33747595,0
5996627,33420797,1
5996661,1473257604,0
5996661,33387983,1
5996661,1473257555,2
5996661,33387972,3
5996703,34396184,0
5996703,34393467,1
5996703,34500339,2
5996754,33327805,0
5996754,33327806,1
5996754,33327807,2
5996754,33324319,3
5996754,33324318,4
5996754,33324317,5
5996754,33324316,6
5996754,33324315,7
5996754,33324314,8
5996793,33522164,0
5996793,33756554,1
5996793,33756874,2
5996793,33756871,3
5996793,33816702,4
5996793,33756608,5
5996793,33756870,6
5996793,33816700,7
5996793,33749214,8
5996793,34165595,9
5996793,34183234,10
5996793,34189180,11
5996793,34167673,12
5996793,34183223,13
5996793,34160561,14
5996793,34183247,15
5996793,34183229,16
5996793,34194836,17
5996793,34188749,18
5996793,33954635,19
5996793,34165686,20
5996793,34182634,21
5996793,33368423,22
5996830,33552354,0
5996830,5481262570,1
5996830,34397305,2
5996830,2556082283,3
5996830,704892757,4
5996830,33631973,5
5996830,34642689,6
5996830,705669237,7
5997042,33362733,0
5997042,33368165,1
5997042,34549045,2
5997042,34571383,3
5997221,33754575,0
5997221,33808549,1
5997221,33827587,2
5997221,33840921,3
5997221,34657078,4
5997221,34657228,5
5997221,34659362,6
5997221,34646287,7
5997221,34561807,8
5997221,34561821,9
5997221,34561366,10
5997221,34537277,11
5997221,34561333,12
5997221,34516427,13
5997221,34516399,14
5997221,34561341,15
5997221,34644910,16
5997221,34656047,17
5997221,34669287,18
5997221,34657223,19
5997221,34561392,20
5997221,34562692,21
5997221,34642697,22
5997221,34567078,23
5997221,34644942,24
5997221,34541817,25
5997221,34552418,26
5997221,34568466,27
5997221,33541434,28
5997268,33750720,0
5997268,33754550,1
5997268,33750739,2
5997268,33749162,3
5997268,33749004,4
5997268,33751053,5
5997268,33750941,6
5997268,33748994,7
5997268,33748971,8
5997268,33751079,9
5997268,33751563,10
5997268,33751082,11
5997268,33751078,12
5997268,34178111,13
5997268,34180244,14
5997268,33749086,15
5997315,34390421,0
5997315,34568499,1
5997315,34543063,2
5997315,34546133,3
5997315,34546496,4
5997315,34546115,5
5997315,34546109,6
5997315,34559103,7
5997315,34560913,8
5997419,34532907,0
5997419,34531067,1
5997641,33818574,0
5997641,33316290,1
5997752,34373853,0
5997752,34387036,1
5997752,34371082,2
5997752,34371192,3
5997752,34378535,4
5997752,34378590,5
5997752,34382094,6
5997752,34383264,7
5997752,34383302,8
5997752,33550631,9
5997752,2098055082,10
5997752,33550137,11
5997801,33551262,0
5997801,33551256,1
5997801,33550383,2
5997801,33551238,3
5997801,33550459,4
5997801,33550388,5
5997801,33550901,6
5997801,33550490,7
5997842,34546007,0
5997842,34508924,1
5997899,33737797,0
5997899,5512543095,1
5997899,2033964163,2
5997899,5512543411,3
5997899,5512543389,4
5997899,2033943073,5
5997899,5512543390,6
5997899,5512543391,7
5997899,5512543392,8
5997899,5512543393,9
5997899,5512543394,10
5997899,5512543395,11
5997899,5512543396,12
5997899,5512543397,13
5997954,34655748,0
5997954,34648464,1
5997954,33303741,2
5997954,5272828748,3
5997954,811438147,4
5997954,5258658924,5
5997954,5261257497,6
5997954,5258658926,7
5997954,5319246497,8
5997954,5284189672,9
5997954,811438161,10
5997954,5261257507,11
5997954,33304000,12
5997954,33304038,13
5997954,33804048,14
5997954,33739197,15
5997954,33328658,16
5997954,34378752,17
5997954,34379230,18
5997954,34393924,19
5997954,34394362,20
5997954,1072148403,21
5997954,33362915,22
5998006,33373234,0
5998006,33375960,1
5998006,33373181,2
5998006,33373161,3
5998006,33373154,4
5998006,33302343,5
5998006,33373214,6
5998006,33373213,7
5998006,33373159,8
5998006,33373160,9
5998006,33954926,10
5998069,33802409,0
5998069,33744460,1
5998069,34507732,2
5998108,34535081,0
5998108,34514950,1
5998108,34559804,2
5998108,34559696,3
5998108,34559871,4
5998108,34551582,5
5998108,34545984,6
5998108,34537391,7
5998108,33311152,8
5998155,33545942,0
5998155,33368400,1
5998155,34387451,2
5998155,34378843,3
5998155,34382796,4
5998155,34379138,5
5998155,34497054,6
5998155,34395814,7
5998155,34381788,8
5998155,34379143,9
5998155,33483624,10
5998155,3534679564,11
5998155,33729808,12
5998199,33373509,0
5998199,33373510,1
5998199,33373471,2
5998199,33373466,3
5998199,33373473,4
5998199,33373506,5
5998199,33373517,6
5998199,33373518,7
5998199,33373401,8
5998199,33373431,9
5998199,33373529,10
5998199,33320079,11
5998353,33464559,0
5998353,33465722,1
5998353,33424488,2
5998409,34514985,0
5998409,678254890,1
5998481,33483601,0
5998481,33493357,1
5998529,34503369,0
5998529,34194587,1
5998529,34186948,2
5998529,34188659,3
5998529,34188661,4
5998529,34187175,5
5998551,33805684,0
5998551,34566758,1
5998609,33375911,0
5998609,5365061808,1
5998609,668428008,2
5998609,1595174973,3
5998609,33375810,4
5998609,5365061862,5
5998609,33375882,6
5998609,34544093,7
5998609,33328312,8
5998609,33328316,9
5998609,1709397608,10
5998609,33328315,11
5998609,33328318,12
5998609,33328352,13
5998609,5365062075,14
5998609,33328280,15
5998609,33328279,16
5998609,683751419,17
5998609,33328370,18
5998609,683751418,19
5998609,33328235,20
5998788,34397676,0
5998788,33542007,1
5998788,34512842,2
5998840,973157894,0
5998840,973157845,1
5998840,33331002,2
5998840,973257302,3
5998840,33330949,4
5998840,33424165,5
5998840,34515689,6
5998840,33751789,7
5998840,33323115,8
5998888,34509505,0
5998888,34503221,1
5998888,34381960,2
5998888,801633279,3
5998888,801633603,4
5998888,33363013,5
5998934,33551041,0
5998934,34660780,1
5998934,34659913,2
5998934,34559216,3
5998934,34640938,4
5998934,34656865,5
5998934,34656860,6
5998934,34645900,7
5998934,34539673,8
5998934,34650184,9
5998934,34636826,10
5998934,34652208,11
5998934,34638076,12
5998934,34572336,13
5998934,34651620,14
5998934,34640492,15
5998934,33520407,16
5998984,33629855,0
5998984,33747575,1
5998984,33747582,2
5998984,33748505,3
5998984,33748418,4
5999027,33632474,0
5999027,34549789,1
5999027,34549792,2
5999027,34565802,3
5999027,34563751,4
5999027,34565811,5
5999027,34379772,6
5999069,2410221379,0
5999069,34652687,1
5999069,34642329,2
5999069,33631248,3
5999069,33726446,4
5999069,33373283,5
5999142,34397306,0
5999142,1939734287,1
5999142,34508517,2
5999142,1939734284,3
5999142,1939734286,4
5999142,33358315,5
5999142,33358333,6
5999142,34652478,7
5999142,34562463,8
5999142,34502617,9
5999142,34560803,10
5999142,34546961,11
5999142,33550994,12
5999237,33388006,0
5999237,34668472,1
5999237,34646239,2
5999237,34638525,3
5999237,34669661,4
5999237,34659724,5
5999237,34652943,6
5999237,34665022,7
5999237,33323332,8
5999634,33354884,0
5999634,33354881,1
5999634,33354976,2
6000166,34371599,0
6000166,2118618927,1
6000331,34502522,0
6000331,33303238,1
6000331,34500756,2
6000331,34501875,3
6000331,34503058,4
6000331,34501914,5
6000331,34397759,6
6000331,34397648,7
